Month,TA 1 lag1,TA 2 lag1,TA 3 lag1,TA 4 lag1,Apartment features 1 lag1,Apartment features 2 lag1,External feature 1 lag1,External feature 2 lag1,External feature 3 lag1,External feature 4 lag1,Studios lag1,One room flat lag1,Two rooms flat lag1,Three and more rooms flat lag1,Deals lag1,sin_season,cos_season
2024-08-01,0.9090909090909092,0.0454545454545454,0.0454545454545454,0.0,305.0,42.2,6325.0,29920.0,64548.0,16.0,104.0,466.0,325.0,79.0,974.0,0.0,1.0
2024-09-01,0.8571428571428571,0.0238095238095238,0.0714285714285714,0.0476190476190476,300.0,41.8,8859.0,29940.0,6014.0,18.0,188.0,701.0,535.0,113.0,1537.0,0.49999999999999994,0.8660254037844387
2024-10-01,0.875,0.05,0.075,0.0,298.0,41.7,9765.0,32017.0,5943.0,18.5,265.0,854.0,550.0,139.0,1830.0,0.8660254037844386,0.5000000000000001
2024-11-01,0.9722222222222222,0.0277777777777777,0.0,0.0,300.0,41.6,10536.0,39279.0,6388.0,19.0,389.0,976.0,663.0,168.0,2196.0,1.0,6.123233995736766e-17
2024-12-01,0.8484848484848485,0.1212121212121212,0.0303030303030303,0.0,302.0,41.4,10814.0,40948.0,7156.0,21.0,637.0,1296.0,737.0,132.0,2802.0,0.8660254037844387,-0.4999999999999998
2025-01-01,0.6071428571428571,0.1071428571428571,0.25,0.0357142857142857,284.6,41.3,13622.0,44154.0,6302.0,21.0,905.0,1404.0,915.0,261.0,3485.0,0.49999999999999994,-0.8660254037844387
2025-02-01,0.390625,0.21875,0.296875,0.09375,305.0,41.3,9743.0,46282.0,6643.0,21.0,772.0,1570.0,855.0,221.0,3400.0,1.2246467991473532e-16,-1.0
2025-03-01,0.5102040816326531,0.2244897959183673,0.2448979591836734,0.0204081632653061,295.0,41.2,12026.0,39802.0,5826.0,21.0,873.0,1946.0,1140.0,298.0,4257.0,-0.4999999999999997,-0.8660254037844388
2025-04-01,0.6428571428571429,0.1607142857142857,0.1428571428571428,0.0535714285714285,290.8,41.3,11287.0,39129.0,5461.0,21.0,850.0,1696.0,952.0,249.0,3733.0,-0.8660254037844385,-0.5000000000000004
2025-05-01,0.5,0.2,0.28,0.02,300.0,41.9,9606.0,37167.0,5312.0,21.0,545.0,925.0,506.0,111.0,2087.0,-1.0,-1.8369701987210297e-16
2025-06-01,0.6730769230769231,0.1538461538461538,0.173076923076923,0.0,305.0,42.4,8677.0,33912.0,4633.0,21.0,417.0,736.0,403.0,97.0,1654.0,-0.8660254037844386,0.5000000000000001
2025-07-01,0.8214285714285714,0.0357142857142857,0.0714285714285714,0.0714285714285714,309.7,42.7,8946.0,29084.0,4714.0,20.0,450.0,740.0,420.0,91.0,1720.0,-0.5000000000000004,0.8660254037844384
2025-08-01,0.8214285714285714,0.0357142857142857,0.0714285714285714,0.0714285714285714,315.0,43.4,6962.0,34589.0,4634.0,20.0,293.0,507.0,281.0,47.0,1700.0,-2.4492935982947064e-16,1.0
